Colegios,Localidad
Villareal),
Elx),
Elx),
Vinaròs),
Ondara),
Elx),
antiguo CP El Serafico, Elda),
Quart de Poblet),
Xàtiva),
València),
Elx),
Alzira),
Oliva),
 Torrellano),
Benejúzar),
Benferri),
Alzira),
Alacant),
Santa Pola),
Elx),
València),
Alaquàs),
Almoradí),
 San Felipe),
València),
Elx),
Monòvar),
Alboraia),
València),
Sax),
Elx),
València),
Elx),
Godella),
Alacant),
Elx),
Alacant),
Montserrat),
Manises),
Oriola),
Alacant),
Elx),
Alacant),
Torrevieja),
Elx),
Alcàsser),
Catarroja),
Mislata),
Xeraco),
Alacant),
Alacant),
Elx),
Daya Nueva),
Formentera del Segura),
Xella),
Elx),
 Altabix),
 La Marina),
Bigastro),
Bigastro),
Callosa del Segura),
Elx),
L'Alcúdia),
Paiporta),
València),
Elx),
Elx),
Elx),
Alzira),
Oliva),
Oriola, La Murada),
València),
Almoradí),
València),
L'Olleria),
Crevillent),
Elx),
 Perleta),
Elx, Las Bayas),
Algorfa),
Elx),
Crevillent),
Elx),
Alacant),
Burjassot),
València),
 Molins),
Alfafar),
Càrcer),
Crevillent),
Villena),
València),
Alacant),
Callosa del Segura),
Quart de Poblet),
Elx),
València),
Algemesí),
 Bonanza),
 L'Altet),
 La Hoya),
 San Bartolomé),
Albal),
Sedaví),
Elx),
Dolores),
Benijòfar),
Elx),
València),
Alfara del Patriarca),
Alacant),
Callosa del Segura),
Rocafort),
Elx),
Torrent),
Villanueva de Castellón),
Alacant),
Alzira),
Alzira),
 Valverde),
Elx),
Montesa),
València),
Manises),
Elx),
Oriola),
Sagunt),
València),
Jacarilla),
Cox),
Oliva),
Dolores),
Cox),
Rafelbunyol),
Albatera),
Massamagrell),
Olocau),
Torre d'En Besora),
Oriola),
Alacant),
Alagemesí),
València),
Llíria),
Alzira),
Elx),
Elx),
Torrevieja),
Elx),
Benicarló),
Alzira),
Callosa del Segura),
Gandia),
Callosa del Segura),
Oriola),
Elx),
