Mes;Año;Descripción Centro;Organismo;Número Contrato;Número Expediente;Descripción Contrato;Tipo Contrato;Procedimiento Adjudicación;Artículo;Apartado;Criterios Adjudicación;Presupuesto Total          (IVA Incluido);Importe Adjudicación   (IVA Incluido);Plazo;Fecha Adjudicación;Nombre/Razón Social;NIF/CIF Adjudicatario;Fecha Formalización;Acuerdo Marco;Ingreso/Coste Cero;Observaciones;;;
Enero;2017;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE DESARROLLO URBANO SOSTENIBLE;201700001;711/2016/07927;LOTE 2 DEL CONTRATO DE OBRAS DE ADECUACIÓN DE VIALES Y ACCESIBILIDAD EN VARIOS DISTRITOS DE LA CIUDAD, AÑO 2016, (3 LOTES).;Obras;Abierto;;;Pluralidad de criterios;1.167.577,63;712.572,63;5,00;11/11/2016;PACSA SERVICIOS URBANOS Y DEL MEDIO NATURAL, S.L.;B85187292;21/11/2016; ;;;;;
Enero;2017;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;201700002;MDC/2016/00048;SUMINISTRO EN RÉGIMEN DE ARRENDAMIENTO, MONTAJE, MANTENIMIENTO Y DESMONTAJE DE ESCENARIOS Y TORRES DE ILUMINACIÓN Y SONIDO A INSTALAR CON MOTIVO DE SAN ISIDRO. LOTE 2;Suministro;Ordinario;;;Pluralidad de criterios;13.915,00;13.068,00;0,26;05/05/2016;NÜSSLI ESPAÑA, S.A.;A63893895;06/05/2016; ;;;;;
Enero;2017;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;201700003;MDC/2016/00061;LICITACIÓN POR LOTES PARA EL MANTENIMIENTO ANUAL, REVISIONES PERIÓDICAS Y TRABAJOS CORRECTIVOS Y/O MEJORA DE LAS INSTALACIONES, SISTEMAS, EQUIPOS Y ELEMENTOS DE ALTA TENSIÓN, BAJA TENSIÓN, GRUPOS ELECTRÓGENOS, PROTECCIÓN CONTRA INCENDIOS Y CLIMATIZACIÓN, VENTILACIÓN, GAS, AGUA Y FONTANERÍA, DEL TEATRO ESPAÑOL, TEATRO FERNÁN GÓMEZ Y TEATRO CIRCO PRICE. LOTE 4;Servicios;Ordinario;;;Único criterio, precio;17.545,00;15.911,50;12,00;26/07/2016;COMERCIAL DE PROTECCION CONTRA INCENDIOS, S.A.;A28724193;29/07/2016; ;;;;;
Enero;2017;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;201700004;300/2016/00178;ACTIVIDADES MUNICIPALES DE CONCILIACIÓN DE LA VIDA LABORAL Y FAMILIAR EN LOS COLEGIOS PÚBLICOS DEL DISTRITO DE SALAMANCA. CURSO 2016-2018. LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;25.779,60;20.050,80;24,00;30/09/2016;INSTITUTO SUPERIOR DE ESTUDIOS EMPRESARIALES CAMBRIDGE S.A.;A53866299;30/09/2016; ;;;;;
Enero;2017;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;201700005;300/2016/00178;ACTIVIDADES MUNICIPALES DE CONCILIACIÓN DE LA VIDA LABORAL Y FAMILIAR EN LOS COLEGIOS PÚBLICOS DEL DISTRITO DE SALAMANCA. CURSO 2016-2018. LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;13.242,24;10.299,52;24,00;30/09/2016;INSTITUTO SUPERIOR DE ESTUDIOS EMPRESARIALES CAMBRIDGE S.A.;A53866299;30/09/2016; ;;;;;
Enero;2017;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;201700006;300/2016/00178;ACTIVIDADES MUNICIPALES DE CONCILIACIÓN DE LA VIDA LABORAL Y FAMILIAR EN LOS COLEGIOS PÚBLICOS DEL DISTRITO DE SALAMANCA. CURSO 2016-2018. LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;43.200,00;34.560,00;23,00;26/09/2016;ARJE FORMACION SLU;B19178961;30/09/2016; ;;;;;
Enero;2017;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;201700007;MDC/2016/00067;SERVICIOS DE DESARROLLO EVOLUTIVO DE LOS PORTALES ESMADRID.COM, ESMADRIDPRO, EL SISTEMA DE INFORMACIÓN DIGITAL PARA LOS CENTROS DE INFORMACIÓN TURÍSTICA Y EL MANUAL EXPERIENCIAL DE MADRID DESTINO;Servicios;Ordinario;;;Pluralidad de criterios;193.600,00;178.269,30;12,00;10/05/2016;HIBERUS TECNOLOGÍAS DE LA INFORMACIÓN, S.L.;B99344319;17/05/2016; ;;;;;
Enero;2017;AYUNTAMIENTO DE MADRID;MADRID SALUD;201700008;300/2016/00843;SUMINISTRO DE REACTIVOS PARA SEROLOGÍA II E INMUNOSEROLOGÍA PARA EL LABORATORIO DE ANÁLISIS CLÍNICOS DE MADRID SALUD (2 LOTES);Suministro;Abierto;;;Pluralidad de criterios;245.293,62;245.293,62;35,93;11/10/2016;"ROCHE DIAGNOSTICS; S.L.";B61503355;02/11/2016; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIÓN Y ADJUDICACIÓN PORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;
Enero;2017;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;201700009;MDC/2016/00069;ESTUDIO PRESTACIONAL DE SEGURIDAD CONTRA INCENDIOS EN LAS INSTALACIONES DEL PALACIO MUNICIPAL DE CONGRESOS, PABELLÓN DE CRISTAL Y PLAZA DE MATADERO MADRID;Servicios;Ordinario;;;Único criterio, precio;205.700,00;118.580,00;3,00;07/03/2016;UTE JVVA-PROSYSTEN;U87496899;14/03/2016; ;;;;;
Enero;2017;AYUNTAMIENTO DE MADRID;DISTRITO DE PUENTE DE VALLECAS;201700010;300/2016/01046;CONTRATO DE SERVICIOS PARA LA EJECUCIÓN DEL CAMPAMENTO URBANO DE NAVIDAD 2016-2017 DIRIGIDO A MENORES EN SITUACIÓN DE VULNERABILIDAD SOCIAL, EN EL DISTRITO DE PUENTE DE VALLECAS.;Servicios;Abierto;;;Pluralidad de criterios;41.743,90;36.313,02;0,46;22/12/2016;CULTURAL ACTEX, S.L.;B81829996;23/12/2016; ;;;;;
